ue;annee;dossier;intitule;points;total_points;questions_resume;rubriques_principales;rubriques_secondaires;competences;techniques;nature;technicite;source;statut_source
UE2;2025;1;Investissement (coût du capital d'une société non cotée · choix d'investissement);20;50;Q1-2 bêta de l'actif des comparables, bêta des CP réendetté, MEDAF, CMPC · Q3-4 flux de trésorerie et VAN de deux projets exclusifs (BFR, valeur de reprise, IS) · Q5 note 10 lignes VAN vs TRI, VAN globale · Q6 projet à VAN nulle avec flux certains;1.2|4.1;4.3|1.1;désendetter/réendetter un bêta, MEDAF, CMPC, flux de trésorerie disponibles, VAN, TRI, conflit de critères, VAN globale;MEDAF_beta|CMPC|VAN_TRI|flux_projet;mixte (calcul dominant);2;Drive UE 2 - 2025 Sujet (id 1IPctJZNfuktw5xU5O93vvHZaZaWuFsnF);copie FicheBEN du sujet (filigrane) — sujet officiel non ouvrable ici
UE2;2025;2;Rachat des parts via un LBO;15;50;Q1 montant de l'emprunt de la holding · Q2 schéma du montage · Q3 bilan simplifié de la holding · Q4 tableaux d'amortissement dette senior (annuités constantes) et junior (in fine) · Q5 conditions de réussite du LBO (capacité distributive);6.3;4.2|4.3;montage LBO, effet de levier, dette senior/junior, remontée de dividendes, tableau d'amortissement (prérequis DCG);LBO|tableau_amortissement;mixte (calcul dominant);2;idem;idem
UE2;2025;3;Financement participatif (equity crowdfunding) et dividende;15;50;Q1 choix de plateforme · Q2 nombre d'investisseurs selon le ticket moyen · Q3 fourchette de coût de la levée · Q4 gouvernance des actionnaires sur les plateformes · Q5 argumenter que le dividende n'enrichit pas l'actionnaire;6.5|4.2|6.1;2.2;analyse comparative d'un financement alternatif, coût d'une levée, gouvernance actionnariale, neutralité du dividende (Modigliani-Miller);crowdfunding|dividende_theories|gouvernance;mixte (rédaction dominante);1;idem;idem
UE2;2024;1;Évaluation du groupe Bel;8;20;1.1 rentabilité exigée par le MEDAF · 1.2 valeur d'entreprise par les FTD 2021-2024 puis valeur des CP et valeur théorique de l'action · 1.3 multiples VGE/EBIT (intérêt et limite) · 1.4 prime offerte par rapport aux cours de bourse · 1.5 commenter la fourchette de négociation vs prix d'OPR (550 €);3.1|3.2|1.2;6.3|3.3;MEDAF, DCF/FTD, passage VE→VCP, multiples, prime d'OPR, fourchette de négociation;MEDAF_beta|DCF_FTD|multiples|prime_offre_publique;calcul dominant;2;Drive UE 2 - 2024 Sujet (id 104sx5YzAUtqK24MerFtkuPjUE0oHfvzJ, scan lu en image);copie FicheBEN du sujet officiel (filigrane)
UE2;2024;2;Gouvernance et offre publique de retrait de Bel par Unibel;7;20;2.1 définir OPR et retrait obligatoire · 2.2 motifs d'une OPR · 2.3 nouvelle structure d'actionnariat (actions, droits de vote théoriques et exerçables, droits de vote double) · 2.4 intérêt du retrait de la cote pour la direction · 2.5 conséquences en gouvernance au regard de la loi Copé-Zimmermann · 2.6 pourquoi la nomination d'une DG est un signal de bonne gouvernance (théorie);6.3|2.2;6.2|1.1;retrait de la cote (OPR/RO), calcul de droits de vote, théorie de l'agence et du signal, gouvernance (dissociation PDG, mixité des CA);prime_offre_publique|droits_de_vote|gouvernance;mixte (rédaction dominante);1;idem;idem
UE2;2024;3;Responsabilité sociétale des entreprises;5;20;3.1 différence RSE / ESG · 3.2 indicateurs extra-financiers et pilotage de la performance financière · 3.3 approche partenariale de Freeman, 4 parties prenantes et nature de la valeur créée · 3.4 société à mission vs approche actionnariale · 3.5 actionnariat salarié et création de valeur;2.2;1.1;RSE/ESG, parties prenantes, valeur partenariale vs actionnariale, société à mission (PACTE), actionnariat salarié;RSE_ESG|parties_prenantes|societe_a_mission;rédaction;1;idem;idem
UE2;2023;1;Projet d'investissement avec options réelles;4;20;1.1 hypothèses du modèle de Black et Scholes et utilité pour l'investissement · 1.2 définir option réelle et option d'expansion · 1.3 valeur de l'option (B&S) · 1.4 conclure sur l'opportunité d'investir;4.1;5.2|1.1;options réelles, Black-Scholes, VAN stratégique;Black_Scholes|option_reelle;mixte;3;Drive UE 2 - 2023 Sujet (id 1vmELzVZlhy3QzHmb1OQrC_njX8ns2k9Y);copie FicheBEN du sujet officiel (filigrane)
UE2;2023;2;Gouvernance d'entreprise et évaluation;10;20;P1 : 1.1 gouvernance et mécanismes internes/externes · 1.2 géographie du capital et mode de gouvernance · 1.3 analyse des éléments de gouvernance · 1.4 qualités d'un administrateur indépendant. P2 : 2.1 CMPC · 2.2 covariance (Ra,Rm) en tableau · 2.3 prix de l'action par DCF (FTD) · 2.4 prix par multiples (CA, EBIT, PER) · 2.5 méthodes applicables à un fonds de commerce ?;2.2|3.1|3.2|1.2;3.3|4.3;gouvernance (mécanismes, administrateurs indépendants), CMPC, bêta/covariance, DCF, multiples, évaluation d'un fonds de commerce;gouvernance|CMPC|covariance_risque|DCF_FTD|multiples|fonds_de_commerce;mixte;2;idem;idem
UE2;2023;3;RSE et gestion du risque de taux;6;20;P1 : 1.1 DPEF, obligation ou non · 1.2 notation extra-financière, agences. P2 : 1.1 nature du risque de taux (emprunt à taux variable) · 1.2 intérêts avec/sans swap selon deux scénarios d'Euribor (tableau);2.2|5.2;;DPEF/reporting extra-financier, notation ESG, swap de taux, exposition au risque de taux;RSE_ESG|notation|couverture_taux;mixte;2;idem;idem
UE2;2022-S1;1;Diagnostic financier (Sopra Steria, comptes consolidés IFRS) [sujet annulé — hors statistiques];30;100;Q1 marge opérationnelle, ROCE (EBIT), ROE 2019-2020 · Q2 gearing, capacité de remboursement (EBITDA), structure financière · Q3 diagnostic 2016-2020 · Q4 comparaison sectorielle;2.1;4.3;ratios de profitabilité/rentabilité/endettement en IFRS, diagnostic comparatif;diagnostic_ratios;mixte;2;Drive UE 2 - 2022 Sujet 1 (id 1Qr9Fd5saASC2L5ZWz5dUwUPTkVRpk90P);sujet officiel 2022 (version PDF 12 p.) — lequel des deux sujets 2022 a été composé : non vérifié
UE2;2022-S1;2;Diagnostic RSE et gouvernance [sujet annulé — hors statistiques];30;100;Q1 critères ESG · Q2 communiqué, DPEF · Q3 CDP · Q4 axes de responsabilité sociale · Q5.1 CA et codes de gouvernance · Q5.2 théorie de l'agence (Jensen-Meckling) · Q5.3 rôle de la politique de dividende · Q5.4 non-distribution 2020;2.2|6.1;1.1;ESG, DPEF, notation extra-financière, gouvernance, agence, signal du dividende;RSE_ESG|gouvernance|dividende_theories;rédaction;1;idem;idem
UE2;2022-S1;3;Ingénierie financière (OPE EEGS Design / EVA Group) [sujet annulé — hors statistiques];40;100;Q1 cours nécessaire pour une prime de 25 % · Q2 lien dividende/cours, dividende exceptionnel · Q3 valeur de l'action après OPE · Q4 transfert de richesse · Q5 motivations, synergies · Q6 effets dilutif/relutif sur BPA;6.3|6.1;;parité d'échange, prime, dividende et cours, synergies, BPA relutif/dilutif;parite_fusion|BPA_relution|dividende_theories;calcul dominant;2;idem;idem
UE2;2022-S2;1;Diagnostic financier (Energy+);25;100;Q1 marges et profitabilité · Q2 rentabilité économique et financière · Q3 risques;2.1;;diagnostic financier de groupe;diagnostic_ratios;mixte;2;Drive UE 2 - 2022 Sujet 2 (id 1rtDWgUUkWy8xpzq-gL7qliR6c7h92uMj);copie FicheBEN d'un sujet officiel 2022 (7 p.) — rôle (sujet annulé d'oct. 2022 ou sujet du 05/01/2023) non vérifié
UE2;2022-S2;2;Gouvernance et turnover du dirigeant;25;100;Q1 gouvernance, objectif du dirigeant en approche actionnariale, réduction des conflits d'intérêts · Q2 code AFEP-MEDEF et protocole de départ de la dirigeante;2.2;1.1;gouvernance, agence, code AFEP-MEDEF, rémunération des dirigeants;gouvernance;rédaction;1;idem;idem
UE2;2022-S2;3;Réaction des marchés financiers;25;100;Q1 efficience informationnelle (Fama) · Q2 apports de la finance comportementale · Q3 expliquer l'évolution du cours selon les deux paradigmes;1.1;;efficience, finance comportementale, biais;efficience_finance_comportementale;rédaction;1;idem;idem
UE2;2022-S2;4;RSE;25;100;Q1 approche partenariale vs actionnariale · Q2 parties prenantes d'un groupe en transition énergétique · Q3 matrice de matérialité (enjeux cruciaux);2.2;;parties prenantes, gouvernance partenariale, matérialité;RSE_ESG|parties_prenantes;rédaction;1;idem;idem
UE2;2021;1;Projet d'investissement immobilier;50;100;1.1-1.4 rendement espéré, covariance, bêta, MEDAF · 2.1-2.3 capital-investissement, formes, rôle de BPI · 3.1-3.2 marché immobilier et risques · 3.3 VAN de deux projets · 3.4-3.6 annuité équivalente, horizon commun, conclusion;1.2|4.1|4.2;1.3|3.3;bêta, MEDAF, capital-investissement, immobilier, VAN, annuité équivalente, horizon commun;covariance_risque|MEDAF_beta|capital_investissement|immobilier|VAN_TRI|annuite_equivalente;mixte (calcul dominant);2;Drive UE 2 - 2021 Sujet (id 1-oQPs0WPlB63eNPDLA49tNnh4qgeGcXz);copie FicheBEN du sujet officiel · structure confirmée par [Rapport du jury 2021, p. 7]
UE2;2021;2;Opération de restructuration;25;100;1.1 motivations d'un rapprochement · 1.2 parité d'échange · 1.3 cours théorique du groupe fusionné, création de valeur;6.3;;motifs de fusion, parité, cours théorique post-fusion;parite_fusion;mixte;2;idem;idem
UE2;2021;3;Couverture du risque de change (et crypto-actifs);25;100;1.1-1.2 crypto-actif le plus connu, avantages/inconvénients · 2.1 type de risque de change · 2.2 gains/pertes : contrat à terme vs option · 2.3 choix;5.2|6.5;;risque de change, terme, option de change, bitcoin;blockchain_crypto|couverture_change;mixte;2;idem;idem
