ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE2;2025;1;Q1 problème du MEDAF pour une non cotée;n.c.;Le bêta de Transvert n'est pas observable faute de cotation.;Réponse courte mais indispensable avant tout calcul.;Corrigé 2025 (copie FicheBEN, Drive UE 2 - 2025 Corrigé)
UE2;2025;1;Q2 coût du capital par comparables;n.c.;βactif = βCP×(CP/VGE) + βdette×(D/VGE) pour chaque comparable → moyenne 0,8083 → βCP Transvert = βA + (βA − βD)×D/CP = 1,6321 → kCP = 3,6 % + 1,6321×2,7 % = 8,01 % → CMPC = 8,01 %×0,4 + 4,3 %×(1−25 %)×0,6 = 5,14 %.;Coût de la dette APRÈS impôt dans le CMPC · ne pas oublier le bêta de la dette dans la formule de réendettement · arrondis à 4 décimales imposés par l'annexe.;idem
UE2;2025;1;Q3-Q4 flux et VAN de deux projets;n.c.;Tableau FTD : CA, charges variables et fixes, amortissement (projet A : par unités d'œuvre produites · B : linéaire), IS 25 %, CAF, investissement (prix + frais de mise en service), BFR = 6 % du CA avec récupération, cession de l'ancienne chaîne nette d'IS (30 000 × 75 % = 22 500 en t0). VAN A = 3 150 385 € · VAN B = 3 746 941 €.;Amortissement non linéaire pour A · récupération du BFR en fin de projet · plus-value de cession nette d'IS (VNC nulle).;idem
UE2;2025;1;Q5 note VAN vs TRI (10 lignes);n.c.;Critères de sélection et non de classement · hypothèses de réinvestissement différentes (coût du capital vs TRI) · la VAN globale capitalise les flux à un taux de réinvestissement explicite puis actualise.;Respecter le format imposé (10 lignes) · pas de calcul demandé.;idem
UE2;2025;1;Q6 projet à VAN nulle, flux certains;n.c.;Couvre exactement la rentabilité exigée : ni création ni destruction de valeur · décision selon éléments stratégiques/extra-financiers (image, réglementation, apprentissage, options futures) · privilégier les VAN > 0.;Argumenter, pas seulement définir.;idem
UE2;2025;2;Q1-Q3 montage LBO, schéma, bilan de holding;n.c.;Prix des 25 % = 22 000 k€ · FP 40 % = 8 800 (fonds 2 800 · dirigeant + salariés 6 000) · dettes 60 % = 13 200 (senior 55 % = 7 260 · junior 45 % = 5 940) · bilan : titres 22 000 = CP 8 800 + dettes 13 200.;Lire « 60 % de dettes » sur le financement de l'opération, pas sur la valeur de la cible.;idem
UE2;2025;2;Q4 tableaux d'amortissement;n.c.;Senior : annuité constante = 7 260 × 0,05 / (1 − 1,05^−5) = 1 677 k€ · junior : intérêts 356 k€/an, capital in fine.;Faiblesse relevée par le jury 2025 (annuités constantes) · présenter en tableau.;idem + Rapport du jury 2025 p. 26
UE2;2025;2;Q5 conditions de réussite du LBO;n.c.;Dividendes remontés (25 % du résultat distribuable) ≥ service de la dette (senior + intérêts junior, puis remboursement in fine) chaque année : 6 244 ≥ 2 033 … 8 651 ≥ 7 973 → conditions remplies.;Comparer année par année, y compris l'année du remboursement in fine.;idem
UE2;2025;3;Q1-Q3 choix de plateforme, investisseurs, coût;n.c.;Profil valorisé (88 M€) → plateforme d'investisseurs avisés · nombre d'investisseurs = montant / ticket moyen (1 600 vs 334) · coût = 5-10 % vs 6-10 % du montant levé.;Justifier le choix par le profil de l'entreprise ET des investisseurs.;idem
UE2;2025;3;Q4 gouvernance en equity crowdfunding;n.c.;Holding de regroupement gérée par la plateforme, un seul représentant au conseil · pacte d'actionnaires.;Question de connaissance pure (restitution de cours).;idem
