ue;annee;dossier;intitule;points;total_points;questions_resume;rubriques_principales;rubriques_secondaires;competences;nature;technicite;source;statut_source
UE5;2025;1;Audit et convergence des SI (SAS IAG-DD / IAC-Digit);18;40;Q1 pertinence de l'alignement stratégique, bénéfices · Q2 définir l'audit SI, deux référentiels/normes (COBIT, ISO 27001) · Q3 méthodologie d'audit (périmètre, objectifs, livrables, échéancier) · Q4 problèmes organisationnels et solutions;6.1|1.2|6.2;1.1|1.3|2.2;alignement stratégique, référentiels de gouvernance/sécurité, méthodologie de mission d'audit, diagnostic organisationnel;rédaction;2;Drive UE 5 - 2025 Sujet (id 1td3dmPVU9zeLuRRIFNjRGJgCB7y6uK59, ajouté le 24/09/2026);sujet officiel · structure confirmée par [Rapport du jury 2025, p. 35]
UE5;2025;2;Sécurité et Zero Trust;12;40;Q5 deux objectifs d'une PSSI, rôle du PCA/PRA · Q6 pertinence du Zero Trust, risques des ordinateurs personnels (BYOD) · Q7 trois mesures opérationnelles Zero Trust;5.3|5.2;5.1;DIC, PCA/PRA (RTO/RPO), Zero Trust, BYOD, IAM/MFA/MDM, micro-segmentation;rédaction;3;idem;idem
UE5;2025;3;Valorisation des données (BI et Data Science);10;40;Q8 BI et transformation des métiers du cabinet, compétences, bénéfices clients · Q9 deux rôles de la DSI pour intégrer BI et Data Science;1.4|6.4;1.1|2.5;chaîne décisionnelle (ETL, entrepôt, restitution), gouvernance des données, rôle de la DSI;rédaction;2;idem;idem
UE5;2024;1;Mise en cohérence de CRM inter-organisationnels (AMDM / H2O);14;40;1.1 strates du SI touchées · 1.2 discuter les arguments de H2O (processus, obsolescence) · 1.3 caractériser le risque d'adoption et le gérer;1.3|3.2|2.4;3.1|2.2;urbanisation (strates), choix d'un système d'entreprise après acquisition, résistance au changement;rédaction;2;Drive « UE 5 - 2024 Sujet (transcription lisible).md » (id 1g__P49S4v7SlFi60ml47MOeCecoZISj5bAdFNCqv_u4) — PDF Drive = scan;transcription d'un sujet officiel (Claude, 27/08/2026) · structure confirmée par [Rapport du jury 2024, p. 29]
UE5;2024;2;Alignement stratégique et gestion de la performance du SI;14;40;2.1 alignement stratégie/stratégie SI · 2.2 deux indicateurs de performance du SI · 2.3 deux indicateurs de qualité du SI;1.2|4.1;1.1;modèle d'alignement stratégique (Henderson-Venkatraman), indicateurs de performance/qualité;rédaction;2;idem;idem
UE5;2024;3;Gestion de projet, SI fantômes et BYOD;12;40;3.1 note de synthèse (20 lignes) avantages/inconvénients BYOD et Shadow IT, gouvernance · 3.2 erreurs de gestion de projet par phase (cahier des charges, MOE, budget, pilotage);2.2|5.3;2.1|2.4|5.2;BYOD, Shadow IT, RGPD, phases d'un projet, rôle du chef de projet, MOA/MOE, régie;rédaction;2;idem;idem
UE5;2023;1;Conception de la GED;6;20;Q1 mots-clés d'indexation · Q2 facture corrigée et numéro unique · Q3 paramètres du calendrier de conservation · Q4 documents du workflow bon à payer · Q5 RGPD et plan de classement achats;3.1;5.2;GED (indexation, plan de classement, conservation), workflow, RGPD;rédaction;2;Drive UE 5 - 2023 Sujet (id 1F30KtgFsYRd5th5pCAXbL42W0JiFrBOO);copie FicheBEN du sujet officiel
UE5;2023;2;Direction de projet (bascule de 100 clients GED);8;20;Q6 comité de pilotage · Q7 méthodologie de projet (avantages/inconvénients) · Q8 organisation du programme et Gantt · Q9 urbanisation et documents d'urbanisation;2.2|3.2;1.3|2.1;gouvernance de projet (COPIL), méthodes, planification (Gantt), migration/bascule, urbanisation;mixte (schéma);2;idem;idem
UE5;2023;3;Impact de la loi de finances 2024-2026 (facturation électronique);6;20;Q10 rôle des PDP · Q11 motivations du législateur · Q12 mise à jour du plan de classement · Q13 trois points d'attention sécurité pour la DSI;5.2|5.3;3.1|1.3;dématérialisation fiscale, PDP, sécurité;rédaction;2;idem;idem
UE5;2022;1;Construction du système d'information (groupe SD3i);6;20;Q1 gouvernance des SI et sa redéfinition · Q2 modéliser le schéma d'architecture cible · Q3 deux facteurs clés de succès;1.1|1.3|5.1;2.1;gouvernance SI, architecture cible, FCS d'une transformation;mixte (schéma);2;Drive UE 5 - 2022 Sujet (id 1RE2Pv149rr5yIpguEzb4jotuzLkdBsD9);copie FicheBEN du sujet officiel
